,Accepted_ID,Accepted_Name,Accepted_Species,Accepted_Rank,powo_Snippet,try_Snippet,Sources
28,760134-1,Pavetta villosa,Pavetta villosa,Species," <b>Appearance</b>:  scattered hairs or <em>hairy</em> near nodes, or occasionally pubescent",,POWO pages(/taxon/urn:lsid:ipni.org:names:760134-1):
29,760134-1,Pavetta villosa,Pavetta villosa,Species," <b>Appearance</b>:  scattered hairs or hairy near nodes, or occasionally <em>pubescent</em>",,POWO pages(/taxon/urn:lsid:ipni.org:names:760134-1):
30,759787-1,Pavetta kyimbilensis,Pavetta kyimbilensis,Species," <b>Leaf</b>:  with sparse white <em>hairs</em> on nerves beneath, rarely ciliate; lateral",,POWO pages(/taxon/urn:lsid:ipni.org:names:759787-1):
31,759787-1,Pavetta kyimbilensis,Pavetta kyimbilensis,Species," <b>Inflorescence</b>:  outside, with dense silky <em>hairs</em> inside.",,POWO pages(/taxon/urn:lsid:ipni.org:names:759787-1):
32,759787-1,Pavetta kyimbilensis,Pavetta kyimbilensis,Species," <b>Leaf</b>:  or rarely very sparsely <em>hairy</em> above, often shiny, sometimes",,POWO pages(/taxon/urn:lsid:ipni.org:names:759787-1):
33,759787-1,Pavetta kyimbilensis,Pavetta kyimbilensis,Species," <b>Leaf</b>: , sometimes mucronulate, puberulous or <em>pubescent</em> outside, with white",,POWO pages(/taxon/urn:lsid:ipni.org:names:759787-1):
34,759787-1,Pavetta kyimbilensis,Pavetta kyimbilensis,Species," <b>Inflorescence</b>: , puberulous to ± glabrous or less often <em>pubescent</em>-puberulous",,POWO pages(/taxon/urn:lsid:ipni.org:names:759787-1):
35,759787-1,Pavetta kyimbilensis,Pavetta kyimbilensis,Species," <b>Appearance</b>:  puberulous or less often <em>pubescent</em>-puberulous, older branches covered",,POWO pages(/taxon/urn:lsid:ipni.org:names:759787-1):
36,765685-1,Rutidea orientalis,Rutidea orientalis,Species," <b>Leaf</b>:  above, more densely or occasionally sparsely covered with <em>hairs</em>",,POWO pages(/taxon/urn:lsid:ipni.org:names:765685-1):
37,765685-1,Rutidea orientalis,Rutidea orientalis,Species," <b>Appearance</b>:  to rust-coloured <em>hairs</em>, becoming glabrous with age; older branches",,POWO pages(/taxon/urn:lsid:ipni.org:names:765685-1):
38,765685-1,Rutidea orientalis,Rutidea orientalis,Species, <b>Leaf</b>:  beneath; domatia frequently absent or domatial <em>hairy</em> tufts straw,,POWO pages(/taxon/urn:lsid:ipni.org:names:765685-1):
39,765685-1,Rutidea orientalis,Rutidea orientalis,Species," <b>Leaf</b>: -coloured; petiole 0.2–1.8 cm. long, <em>pubescent</em>; stipules 7–15 mm",,POWO pages(/taxon/urn:lsid:ipni.org:names:765685-1):
40,35336-1,Sericanthe,nan,Genus, <b>Leaf</b>:  in the nerve axils as small tufts of <em>hairs</em> without an apparent,,POWO pages(/taxon/urn:lsid:ipni.org:names:35336-1):
41,77154343-1,Hexasepalum sarmentosum,Hexasepalum sarmentosum,Species," <b>Leaf</b>: -based <em>hairs</em>, pubescent beneath; petiole 1–5 mm. long; stipule",,POWO pages(/taxon/urn:lsid:ipni.org:names:77154343-1):
42,77154343-1,Hexasepalum sarmentosum,Hexasepalum sarmentosum,Species," <b>Leaf</b>: -based hairs, <em>pubescent</em> beneath; petiole 1–5 mm. long; stipule",,POWO pages(/taxon/urn:lsid:ipni.org:names:77154343-1):
43,77154343-1,Hexasepalum sarmentosum,Hexasepalum sarmentosum,Species," <b>Appearance</b>: -angular, <em>pubescent</em> on the angles but at length glabrous.",,POWO pages(/taxon/urn:lsid:ipni.org:names:77154343-1):
44,77067585-1,Vangueria burnettii,Vangueria burnettii,Species," <b>Leaf</b>:  ± ferruginous <em>hairs</em> above, densely velvety beneath with silvery to pale",,POWO pages(/taxon/urn:lsid:ipni.org:names:77067585-1):
45,77067585-1,Vangueria burnettii,Vangueria burnettii,Species," <b>Appearance</b>: , densely pale ferruginous <em>hairy</em> on young parts but soon glabrescent",,POWO pages(/taxon/urn:lsid:ipni.org:names:77067585-1):
46,747350-1,Conostomium quadrangulare,Conostomium quadrangulare,Species," <b>Leaf</b>:  for some <em>hairs</em> above near the base; stipule-sheath truncate, 0.5",,POWO pages(/taxon/urn:lsid:ipni.org:names:747350-1):
47,35106-1,Phellocalyx,nan,Genus, <b>Leaf</b>:  with colleters and silky <em>hairs</em> within.,,POWO pages(/taxon/urn:lsid:ipni.org:names:35106-1):
48,35106-1,Phellocalyx,nan,Genus, <b>Leaf</b>:  growth at apex of stems; domatia present as white <em>hairy</em> tufts,,POWO pages(/taxon/urn:lsid:ipni.org:names:35106-1):
49,35106-1,Phellocalyx,nan,Genus, <b>Appearance</b>: Shrub or small tree; branches <em>pubescent</em> when young.,,POWO pages(/taxon/urn:lsid:ipni.org:names:35106-1):
50,759469-1,Pauridiantha symplocoides,Pauridiantha symplocoides,Species, <b>Leaf</b>:  save for a few short <em>hairs</em> on the narrowly impressed midnerve,,POWO pages(/taxon/urn:lsid:ipni.org:names:759469-1):
51,759469-1,Pauridiantha symplocoides,Pauridiantha symplocoides,Species," <b>Leaf</b>: –8 mm. long, <em>pubescent</em>; stipules triangular-lanceolate, 1.5–5",,POWO pages(/taxon/urn:lsid:ipni.org:names:759469-1):
52,748960-1,Fadogia cienkowskii,Fadogia cienkowskii,Species," <b>Leaf</b>:  <em>hairs</em> above which do not obscure the ± glossy surface, very",,POWO pages(/taxon/urn:lsid:ipni.org:names:748960-1):
53,748960-1,Fadogia cienkowskii,Fadogia cienkowskii,Species, <b>Appearance</b>:  with dense pale ferruginous <em>hairs</em> or less often glabrous.,,POWO pages(/taxon/urn:lsid:ipni.org:names:748960-1):
54,748960-1,Fadogia cienkowskii,Fadogia cienkowskii,Species," <b>Leaf</b>: , often ± bullate, sparsely to fairly densely <em>hairy</em> above",,POWO pages(/taxon/urn:lsid:ipni.org:names:748960-1):
55,748960-1,Fadogia cienkowskii,Fadogia cienkowskii,Species," <b>Leaf</b>: . long, densely <em>pubescent</em>; stipules 6–9 mm. long, shortly joined",,POWO pages(/taxon/urn:lsid:ipni.org:names:748960-1):
56,748960-1,Fadogia cienkowskii,Fadogia cienkowskii,Species," <b>Inflorescence</b>: ; peduncles 3–9(–12) mm. long; pedicels 1.5–9(–12) mm. long, <em>pubescent</em>.",,POWO pages(/taxon/urn:lsid:ipni.org:names:748960-1):
57,748960-1,Fadogia cienkowskii,Fadogia cienkowskii,Species," <b>Appearance</b>:  as corolla-lobes, usually densely rather coarsely <em>pubescent</em>.",,POWO pages(/taxon/urn:lsid:ipni.org:names:748960-1):
58,769786-1,Vangueria randii,Vangueria randii,Species," <b>Leaf</b>:  acuminate at the apex, glabrous or with both bristly <em>hairs</em> and much",,POWO pages(/taxon/urn:lsid:ipni.org:names:769786-1):
59,769786-1,Vangueria randii,Vangueria randii,Species, <b>Inflorescence</b>: . glabrescent to shortly <em>pubescent</em>; ultimate branches 3–8-flowered,,POWO pages(/taxon/urn:lsid:ipni.org:names:769786-1):
60,34395-1,Conostomium,nan,Genus, <b>Leaf</b>:  rather obscure; stipules with the truncate sheath bearing <em>hairs</em>,,POWO pages(/taxon/urn:lsid:ipni.org:names:34395-1):
61,765661-1,Rutidea dupuisii,Rutidea dupuisii,Species," <b>Leaf</b>: , glabrescent to sparsely pubescent with denser spreading <em>hairs</em>",,POWO pages(/taxon/urn:lsid:ipni.org:names:765661-1):
62,765661-1,Rutidea dupuisii,Rutidea dupuisii,Species, <b>Appearance</b>:  covered with rust-coloured spreading <em>hairs</em>; older branches,,POWO pages(/taxon/urn:lsid:ipni.org:names:765661-1):
63,765661-1,Rutidea dupuisii,Rutidea dupuisii,Species," <b>Leaf</b>:  then <em>hairy</em> tufts, inconspicuous; petiole 0.7–2.7 cm. long, densely",,POWO pages(/taxon/urn:lsid:ipni.org:names:765661-1):
64,765661-1,Rutidea dupuisii,Rutidea dupuisii,Species," <b>Leaf</b>:  cordate at base, glabrous, glabrescent or sparsely <em>pubescent</em> above",,POWO pages(/taxon/urn:lsid:ipni.org:names:765661-1):
65,759765-1,Pavetta johnstonii,Pavetta johnstonii,Species," <b>Leaf</b>: , sparsely pubescent above, pubescent beneath with dense longer <em>hairs</em>",,POWO pages(/taxon/urn:lsid:ipni.org:names:759765-1):
66,759765-1,Pavetta johnstonii,Pavetta johnstonii,Species," <b>Leaf</b>: , sparsely <em>pubescent</em> above, <em>pubescent</em> beneath with dense longer hairs",,POWO pages(/taxon/urn:lsid:ipni.org:names:759765-1):
67,759765-1,Pavetta johnstonii,Pavetta johnstonii,Species," <b>Inflorescence</b>: , <em>pubescent</em>; secondary branches very reduced; pedicels 2–5 mm long",,POWO pages(/taxon/urn:lsid:ipni.org:names:759765-1):
68,759765-1,Pavetta johnstonii,Pavetta johnstonii,Species, <b>Appearance</b>: Shrub? or small tree 2–5 m tall; young branches <em>pubescent</em>,,POWO pages(/taxon/urn:lsid:ipni.org:names:759765-1):
69,77177201-1,Galium acrophyum,Galium acrophyum,Species," <b>Leaf</b>: , the margins with short forwardly directed <em>hairs</em> or weak prickles",,POWO pages(/taxon/urn:lsid:ipni.org:names:77177201-1):
70,77177201-1,Galium acrophyum,Galium acrophyum,Species," <b>Appearance</b>:  weak and mostly elongate, up to 35 cm. long, without <em>hairs</em>",,POWO pages(/taxon/urn:lsid:ipni.org:names:77177201-1):
71,975271-1,Spermacoce exilis,Spermacoce exilis,Species, <b>Leaf</b>:  marginal <em>hairs</em> or ± pubescent on the main nerve beneath; petiole 0,,POWO pages(/taxon/urn:lsid:ipni.org:names:975271-1):
72,975271-1,Spermacoce exilis,Spermacoce exilis,Species, <b>Appearance</b>:  with sparse to fairly dense crisped <em>hairs</em> on the ± wing-like prominent,,POWO pages(/taxon/urn:lsid:ipni.org:names:975271-1):
73,975271-1,Spermacoce exilis,Spermacoce exilis,Species, <b>Leaf</b>:  marginal hairs or ± <em>pubescent</em> on the main nerve beneath; petiole 0,,POWO pages(/taxon/urn:lsid:ipni.org:names:975271-1):
74,766765-1,Spermacoce hispida,Spermacoce hispida,Species," <b>Leaf</b>: , scabrid with white <em>hairs</em> on upper surface and particularly along",,POWO pages(/taxon/urn:lsid:ipni.org:names:766765-1):
75,766765-1,Spermacoce hispida,Spermacoce hispida,Species," <b>Appearance</b>:  with spreading white <em>hairs</em>, with short internodes and rather congested",,POWO pages(/taxon/urn:lsid:ipni.org:names:766765-1):
76,766765-1,Spermacoce hispida,Spermacoce hispida,Species," <b>Leaf</b>: -base <em>hairy</em>, ± 2 mm. long, with 3–6 fimbriae 3–6 mm. long; free",,POWO pages(/taxon/urn:lsid:ipni.org:names:766765-1):
77,77067613-1,Vangueria schumanniana,Vangueria schumanniana,Species, <b>Leaf</b>:  hairy on both surfaces with curled <em>hairs</em>; petiole 0.5–3 mm. long,,POWO pages(/taxon/urn:lsid:ipni.org:names:77067613-1):
78,77067613-1,Vangueria schumanniana,Vangueria schumanniana,Species, <b>Leaf</b>:  <em>hairy</em> on both surfaces with curled hairs; petiole 0.5–3 mm. long,,POWO pages(/taxon/urn:lsid:ipni.org:names:77067613-1):
79,77067613-1,Vangueria schumanniana,Vangueria schumanniana,Species," <b>Leaf</b>: ; stipules triangular, acuminate, 2.5–4 mm. long, <em>pubescent</em> outside",,POWO pages(/taxon/urn:lsid:ipni.org:names:77067613-1):
80,77067613-1,Vangueria schumanniana,Vangueria schumanniana,Species," <b>Appearance</b>:  with greyish fissured bark, velvety grey <em>pubescent</em> above but eventually",,POWO pages(/taxon/urn:lsid:ipni.org:names:77067613-1):
81,77062255-1,Afrocanthium parasiebenlistii,Afrocanthium parasiebenlistii,Species," <b>Leaf</b>: , glabrous or sometimes with a few <em>hairs</em> on the nerves above",,POWO pages(/taxon/urn:lsid:ipni.org:names:77062255-1):
82,77062255-1,Afrocanthium parasiebenlistii,Afrocanthium parasiebenlistii,Species," <b>Leaf</b>: , glabrous or sparsely <em>pubescent</em> beneath, papery; lateral nerves in 5",,POWO pages(/taxon/urn:lsid:ipni.org:names:77062255-1):
83,744466-1,Bertiera naucleoides,Bertiera naucleoides,Species," <b>Leaf</b>:  sparsely covered with <em>hairs</em>, denser on the midrib above and dense",,POWO pages(/taxon/urn:lsid:ipni.org:names:744466-1):
84,744466-1,Bertiera naucleoides,Bertiera naucleoides,Species, <b>Appearance</b>:  <em>hairs</em> below the nodes.,,POWO pages(/taxon/urn:lsid:ipni.org:names:744466-1):
85,766842-1,Spermacoce milnei,Spermacoce milnei,Species," <b>Leaf</b>:  save for some short stiff <em>hairs</em> on the midnerve, the margins",,POWO pages(/taxon/urn:lsid:ipni.org:names:766842-1):
86,766842-1,Spermacoce milnei,Spermacoce milnei,Species, <b>Appearance</b>:  with stiff downwardly directed <em>hairs</em> within the grooves.,,POWO pages(/taxon/urn:lsid:ipni.org:names:766842-1):
87,766842-1,Spermacoce milnei,Spermacoce milnei,Species," <b>Leaf</b>: ; stipule-sheath 3.5–4 mm. long, <em>hairy</em>, with 5 ciliolate setae 3–6",,POWO pages(/taxon/urn:lsid:ipni.org:names:766842-1):
88,766842-1,Spermacoce milnei,Spermacoce milnei,Species," <b>Appearance</b>: , 4-angled and grooved, bifariously shortly <em>pubescent</em>",,POWO pages(/taxon/urn:lsid:ipni.org:names:766842-1):
89,766863-1,Spermacoce ocymoides,Spermacoce ocymoides,Species, <b>Leaf</b>:  surfaces save for short marginal <em>hairs</em> or ± pubescent on the main,,POWO pages(/taxon/urn:lsid:ipni.org:names:766863-1):
90,766863-1,Spermacoce ocymoides,Spermacoce ocymoides,Species, <b>Appearance</b>:  with sparse to fairly dense crisped <em>hairs</em> on the ± wing-like prominent,,POWO pages(/taxon/urn:lsid:ipni.org:names:766863-1):
91,766863-1,Spermacoce ocymoides,Spermacoce ocymoides,Species, <b>Leaf</b>:  surfaces save for short marginal hairs or ± <em>pubescent</em> on the main,,POWO pages(/taxon/urn:lsid:ipni.org:names:766863-1):
92,756419-1,Morinda lucida,Morinda lucida,Species," <b>Leaf</b>: , shining above, glabrous save for tufts of <em>hairs</em> in the axils",,POWO pages(/taxon/urn:lsid:ipni.org:names:756419-1):
93,756419-1,Morinda lucida,Morinda lucida,Species," <b>Leaf</b>:  into 2 parts, <em>hairy</em> inside, or sometimes ovate or triangular",,POWO pages(/taxon/urn:lsid:ipni.org:names:756419-1):
94,756419-1,Morinda lucida,Morinda lucida,Species," <b>Leaf</b>:  beneath and some hairs on the midrib, or slightly finely <em>pubescent</em>",,POWO pages(/taxon/urn:lsid:ipni.org:names:756419-1):
95,756419-1,Morinda lucida,Morinda lucida,Species," <b>Appearance</b>:  and branches; stems <em>pubescent</em> when young, later glabrous; cork grey",,POWO pages(/taxon/urn:lsid:ipni.org:names:756419-1):
96,763832-1,Psychotria zombamontana,Psychotria zombamontana,Species," <b>Leaf</b>:  with scattered ± bristly <em>hairs</em> on midrib beneath, rather thin to thinly",,POWO pages(/taxon/urn:lsid:ipni.org:names:763832-1):
97,763832-1,Psychotria zombamontana,Psychotria zombamontana,Species, <b>Inflorescence</b>: ; inflorescence-axes glabrous or shortly <em>pubescent</em>.,,POWO pages(/taxon/urn:lsid:ipni.org:names:763832-1):
98,770274-1,Virectaria major,Virectaria major,Species," <b>Leaf</b>:  and short <em>hairs</em> on both surfaces, sometimes quite velvety beneath",,POWO pages(/taxon/urn:lsid:ipni.org:names:770274-1):
99,770274-1,Virectaria major,Virectaria major,Species, <b>Appearance</b>:  with adpressed to spreading <em>hairs</em>.,,POWO pages(/taxon/urn:lsid:ipni.org:names:770274-1):
100,77107954-1,Cordylostigma cuspidatum,Cordylostigma cuspidatum,Species, <b>Leaf</b>:  and upper surfaces ± sparsely covered with long white <em>hairs</em>,,POWO pages(/taxon/urn:lsid:ipni.org:names:77107954-1):
101,77107954-1,Cordylostigma cuspidatum,Cordylostigma cuspidatum,Species," <b>Leaf</b>: . long, ± densely <em>pubescent</em> with long white hairs, bearing 2–6",,POWO pages(/taxon/urn:lsid:ipni.org:names:77107954-1):
102,77107954-1,Cordylostigma cuspidatum,Cordylostigma cuspidatum,Species," <b>Inflorescence</b>:  of ± sessile flowers at nodes preceding ‘capitula’, <em>pubescent</em>.",,POWO pages(/taxon/urn:lsid:ipni.org:names:77107954-1):
103,746327-1,Chassalia umbraticola,Chassalia umbraticola,Species," <b>Leaf</b>: , undivided, with fine marginal <em>hairs</em> and longer <em>hairs</em> within",,POWO pages(/taxon/urn:lsid:ipni.org:names:746327-1):
104,746327-1,Chassalia umbraticola,Chassalia umbraticola,Species," <b>Appearance</b>:  greyish and glabrous, younger glabrous or papillate-<em>pubescent</em>.",,POWO pages(/taxon/urn:lsid:ipni.org:names:746327-1):
105,765161-1,Rothmannia urcelliformis,Rothmannia urcelliformis,Species, <b>Leaf</b>:  <em>hairs</em> on the nerves; domatia present; petiole 4–11 mm long,,POWO pages(/taxon/urn:lsid:ipni.org:names:765161-1):
106,765161-1,Rothmannia urcelliformis,Rothmannia urcelliformis,Species," <b>Leaf</b>:  often glabrescent (?or very rarely <em>pubescent</em>) above, glabrescent",,POWO pages(/taxon/urn:lsid:ipni.org:names:765161-1):
107,765161-1,Rothmannia urcelliformis,Rothmannia urcelliformis,Species," <b>Appearance</b>:  stems slender, rusty <em>pubescent</em> or less often glabrescent.",,POWO pages(/taxon/urn:lsid:ipni.org:names:765161-1):
108,749647-1,Galium brenanii,Galium brenanii,Species," <b>Leaf</b>: , sometimes with a ring of stiffish reddish brown <em>hairs</em> within",,POWO pages(/taxon/urn:lsid:ipni.org:names:749647-1):
109,749647-1,Galium brenanii,Galium brenanii,Species," <b>Leaf</b>:  the whorl; petioles up to 3(–5) mm. long, often <em>pubescent</em>; blades",,POWO pages(/taxon/urn:lsid:ipni.org:names:749647-1):
110,753020-1,Heinsia bussei,Heinsia bussei,Species," <b>Leaf</b>: , green above and with a few sparse <em>hairs</em>, grey beneath",,POWO pages(/taxon/urn:lsid:ipni.org:names:753020-1):
111,753020-1,Heinsia bussei,Heinsia bussei,Species," <b>Appearance</b>: Shrub or small tree; branches pendulous, pubescent to <em>hairy</em>",,POWO pages(/taxon/urn:lsid:ipni.org:names:753020-1):
112,753020-1,Heinsia bussei,Heinsia bussei,Species," <b>Appearance</b>: Shrub or small tree; branches pendulous, <em>pubescent</em> to hairy",,POWO pages(/taxon/urn:lsid:ipni.org:names:753020-1):
113,759814-1,Pavetta lindina,Pavetta lindina,Species," <b>Leaf</b>:  obtuse, covered with stiff shiny <em>hairs</em> above, greyish tomentose",,POWO pages(/taxon/urn:lsid:ipni.org:names:759814-1):
114,759814-1,Pavetta lindina,Pavetta lindina,Species," <b>Leaf</b>: . long, <em>pubescent</em> outside, with silky hairs inside.",,POWO pages(/taxon/urn:lsid:ipni.org:names:759814-1):
115,759814-1,Pavetta lindina,Pavetta lindina,Species, <b>Appearance</b>: Scrambling undershrub; young branches densely <em>pubescent</em>,,POWO pages(/taxon/urn:lsid:ipni.org:names:759814-1):
116,760243-1,Pentanopsis fragrans,Pentanopsis fragrans,Species," <b>Leaf</b>:  densely scabrid with short <em>hairs</em>, the margins similarly with very",,POWO pages(/taxon/urn:lsid:ipni.org:names:760243-1):
117,765821-1,Sabicea calycina,Sabicea calycina,Species," <b>Leaf</b>: , rounded or ± cordate at the base, with sparse adpressed <em>hairs</em>",,POWO pages(/taxon/urn:lsid:ipni.org:names:765821-1):
118,765821-1,Sabicea calycina,Sabicea calycina,Species," <b>Appearance</b>:  covered with long adpressed and ± spreading <em>hairs</em> when young, very",,POWO pages(/taxon/urn:lsid:ipni.org:names:765821-1):
119,765821-1,Sabicea calycina,Sabicea calycina,Species," <b>Leaf</b>: (–4.5) cm. long, <em>hairy</em>; stipules leafy, ovate, 5–6 mm. long, 3–4",,POWO pages(/taxon/urn:lsid:ipni.org:names:765821-1):
120,765840-1,Sabicea dewevrei,Sabicea dewevrei,Species, <b>Leaf</b>:  sparse adpressed bristly <em>hairs</em> on the midrib above and main,,POWO pages(/taxon/urn:lsid:ipni.org:names:765840-1):
121,765840-1,Sabicea dewevrei,Sabicea dewevrei,Species," <b>Inflorescence</b>: ; flowers sessile, with <em>hairs</em> at base mixed with very small linear",,POWO pages(/taxon/urn:lsid:ipni.org:names:765840-1):
122,765840-1,Sabicea dewevrei,Sabicea dewevrei,Species, <b>Appearance</b>:  to densely spreading pilose with <em>hairs</em> ± 2.5 mm. long; older stems,,POWO pages(/taxon/urn:lsid:ipni.org:names:765840-1):
123,765840-1,Sabicea dewevrei,Sabicea dewevrei,Species," <b>Appearance</b>:  sparsely <em>hairy</em>, drying dark blackish purple.",,POWO pages(/taxon/urn:lsid:ipni.org:names:765840-1):
124,35139-1,Plectroniella,nan,Genus," <b>Leaf</b>: , with silky white <em>hairs</em> inside, soon caducous.",,POWO pages(/taxon/urn:lsid:ipni.org:names:35139-1):
125,77101466-1,Empogona maputensis,Empogona maputensis,Species," <b>Leaf</b>:  erect <em>hairs</em> above and mainly towards the base, thinly coriaceous",,POWO pages(/taxon/urn:lsid:ipni.org:names:77101466-1):
126,77101466-1,Empogona maputensis,Empogona maputensis,Species, <b>Appearance</b>:  pubescent with course erect <em>hairs</em>; bark light grey.,,POWO pages(/taxon/urn:lsid:ipni.org:names:77101466-1):
127,77101466-1,Empogona maputensis,Empogona maputensis,Species, <b>Appearance</b>:  <em>pubescent</em> with course erect hairs; bark light grey.,,POWO pages(/taxon/urn:lsid:ipni.org:names:77101466-1):
128,758707-1,Otiophora parviflora,Otiophora parviflora,Species," <b>Leaf</b>: ., elliptic or sometimes ovate, with short <em>hairs</em> above and longer",,POWO pages(/taxon/urn:lsid:ipni.org:names:758707-1):
